House Price,Year of Construction,E&V ID,Bedrooms,Half Bathrooms,Full Bathrooms,Total surface approx.,Garage,Plot surface approx.,Bathrooms
2450000,2022,AM-215752,5,1,4,495.17,3,70500.0,
650000,0,AM-215743,4,0,4,275.09,3,923.9,
335000,1988,AM-215733,4,0,2,172.52,2,687.97,
241000,2021,AM-215662,3,1,2,140.93,0,80.94,
799500,0,AM-215446,3,0,1,139.35,0,16299.999999999998,
1549000,2022,AM-215355,5,0,4,325.16,2,768.9,
4795000,1996,AM-212840,7,0,5,880.07,3,81100.0,
1150000,2020,AM-212703,3,1,2,229.01,2,0.0,
4650000,2022,AM-212323,4,0,4,292.64,2,1699.68,
357000,1926,AM-212066,3,0,1,189.06,0,710.63,
1650000,2022,AM-212030,5,1,3,291.99,2,94100.0,
1549900,1933,AM-212028,1,0,1,171.78,0,833700.0,
725000,2018,AM-212004,4,1,2,171.68,2,0.0,
5300000,2022,AM-211949,7,1,8,617.9,2,0.0,
368000,2022,AM-217529,2,0,1,100.52,1,0.0,
4750000,2021,AM-217445,2,0,2,125.51,3,81700.0,
463000,2022,AM-217443,3,0,1,148.74,1,0.0,
539000,1959,AM-217419,3,0,2,113.53,2,1902.02,
164900,1975,AM-217377,2,0,1,95.23,0,768.9,
2375000,2022,AM-217266,4,1,3,260.69,2,0.0,
299990,2021,AM-217256,3,1,2,171.31,2,404.69,
189000,1929,AM-217026,2,0,1,83.89,2,566.56,
239000,2021,AM-216893,3,3,2,138.61,2,72.84,
1450000,0,AM-216698,4,0,4,327.11,3,912.97,
601900,0,AM-216604,4,1,3,246.75,3,952.23,
200000,1938,AM-216603,2,0,1,122.07,1,752.72,
190000,2001,AM-216441,3,0,2,171.5,0,0.0,
607950,0,AM-216378,4,0,3,267.84,3,852.67,
2149000,2022,AM-216368,4,2,4,469.81,3,2788.28,
273900,2015,AM-216300,5,0,3,264.77,1,713.46,
515000,2005,AM-216212,3,0,2,178.37,2,1921.04,
15995000,1995,AM-216177,8,0,10,876.45,4,47400.0,
225000,1935,AM-218547,2,0,2,162.58,0,20400.0,
3100000,2017,AM-218470,3,1,2,243.31,2,1942.49,
305000,2021,AM-218419,4,0,2,148.64,0,683.92,
1440000,1969,AM-218409,4,0,3,213.12,2,1456.87,
769000,1959,AM-218386,2,0,2,89.19,0,283.28,
1749950,2004,AM-218245,3,0,3,193.24,0,163100.0,
1369000,2020,AM-218194,4,0,4,341.79,4,4330.14,
1049000,2022,AM-218165,4,0,0,272.86,0,526.09,
1049000,2022,AM-218159,4,0,0,272.86,0,566.56,
120000,2004,AM-218157,3,0,1,162.58,0,910.54,
1019000,2022,AM-217950,4,0,0,272.86,0,607.03,
1150000,2022,AM-217863,3,2,3,262.64,2,0.0,
414315,2021,AM-217830,4,1,3,187.48,2,0.0,
679900,0,AM-217792,3,0,2,154.31,2,13400.0,
425000,2013,AM-217626,3,1,2,195.75,2,0.0,
534000,2004,AM-217618,3,1,2,296.73,2,1497.34,
1795000,1974,AM-217534,5,1,4,538.09,2,6474.97,
356000,2022,AM-217530,2,0,1,94.3,1,0.0,
689000,1997,AM-218852,3,0,2,185.34,2,647.5,
1675000,2024,AM-218829,4,1,3,245.08,2,0.0,
1680000,2024,AM-218827,4,1,3,245.08,2,0.0,
1785000,2024,AM-218824,4,1,3,245.08,2,0.0,
1789000,2024,AM-218823,4,1,3,245.08,2,0.0,
689884,2022,AM-218818,2,1,2,173.45,2,0.0,
1799000,2024,AM-218813,4,1,3,245.08,2,0.0,
417000,2020,AM-218773,4,1,2,258.27,0,12100.0,
3500000,1988,AM-218770,5,3,5,1411.48,14,74500.0,
1755000,2024,AM-218767,4,1,3,245.08,2,0.0,
1789000,2024,AM-218766,4,1,3,245.08,2,0.0,
1789000,2024,AM-218765,4,1,3,245.08,2,0.0,
1715000,2024,AM-218764,4,1,3,245.08,2,0.0,
1765000,2024,AM-218763,4,1,3,245.08,2,0.0,
1765000,2024,AM-218762,4,1,3,245.08,2,0.0,
674900,2021,AM-218710,3,1,2,223.25,0,0.0,
689999,2021,AM-218709,3,1,3,221.85,1,0.0,
8800000,1989,AM-218627,3,1,2,463.21,0,1268.28,
145000,1949,AM-219699,3,0,2,83.8,2,754.74,0
995000,2022,AM-219583,2,1,2,183.02,1,0.0,0
2500000,1988,AM-219363,4,0,3,441.01,2,21000.0,0
727000,2000,AM-219334,7,0,0,510.97,3,1578.27,6
355000,2019,AM-219285,3,0,2,128.39,2,0.0,0
2700000,2022,AM-219262,4,1,0,469.07,2,4127.79,0
750000,2004,AM-219214,3,0,3,196.95,2,323.75,0
4500000,2007,AM-219176,5,0,2,647.91,2,126000.0,0
590000,0,AM-219165,4,0,0,251.67,2,0.0,2
2000000,1990,AM-219137,4,1,4,368.73,3,0.0,0
1059000,2022,AM-219124,4,1,0,272.86,2,607.03,0
9400000,2010,AM-219063,5,1,6,966.19,5,0.0,0
289900,1931,AM-219031,3,0,2,120.96,0,566.56,0
329900,1903,AM-219018,4,1,1,183.48,0,566.56,0
2150000,1989,AM-219003,3,0,4,200.67,1,728.43,0
4200000,1992,AM-218924,4,1,5,690.83,3,10500.0,0
405000,2011,AM-218896,3,0,2,178.28,2,768.9,0
1500000,2007,AM-218893,5,1,5,666.49,0,1254.53,0
749000,2003,AM-220565,4,1,2,234.95,2,1222.15,
1695000,2022,AM-220495,3,1,3,200.02,2,890.31,
19000,1985,AM-220364,2,0,2,125.7,0,0.0,
7200000,2022,AM-220357,4,0,4,335.75,0,485.62,
97000,2013,AM-220279,3,0,1,127.56,0,0.0,
450000,1915,AM-220274,3,1,1,151.25,0,1456.87,
1799000,2024,AM-220233,4,1,3,245.08,2,0.0,
1799000,2024,AM-220232,4,1,3,245.08,2,0.0,
1789000,2024,AM-220230,4,1,3,245.08,2,0.0,
1789000,2024,AM-220227,4,1,3,245.08,2,0.0,
1789000,2024,AM-220226,4,1,3,245.08,2,0.0,
1794000,2024,AM-220223,4,1,3,245.08,2,0.0,
499000,1940,AM-219891,2,0,1,61.32,0,566.56,
