House Price,Year of Construction,E&V ID,Bedrooms,Full Bathrooms,Total surface approx.,Plot surface approx.,Half Bathrooms,Garage,Bathrooms
299990,2022,AM-252192,3,2,136.29,0.0,1,1,0.0
675000,2017,AM-252191,5,3,297.85,44400.00000000001,0,0,0.0
329000,1993,AM-252349,2,1,80.27,1214.06,0,1,
246000,0,AM-252342,3,2,130.9,1578.27,0,2,
3499000,2015,AM-252341,5,5,651.44,9712.46,2,4,
485000,1987,AM-252337,3,2,162.58,1902.02,0,2,
3750000,1996,AM-252331,5,1,535.21,1902.02,1,2,
289990,2022,AM-252314,3,2,158.03,0.0,1,2,
324990,2022,AM-252305,3,2,158.03,0.0,1,2,
410000,2009,AM-252298,4,2,288.0,6110.75,0,0,
334900,1981,AM-252290,3,2,103.87,615.12,0,0,
685000,1930,AM-252289,3,2,203.64,420.87,1,0,
599000,2021,AM-252271,4,1,210.98,1294.99,1,3,
485000,2017,AM-252270,3,2,120.59,404.69,0,2,
2199000,2022,AM-252258,5,3,300.73,1133.12,1,2,
2199000,2022,AM-252255,5,3,300.73,1133.12,1,2,
1225000,2008,AM-252253,4,4,412.86,1877.74,1,3,
749900,2016,AM-252252,6,3,294.5,5463.26,0,3,
364900,2022,AM-252240,3,2,130.06,1056.23,0,2,
305000,2021,AM-252238,4,2,216.0,1011.71,0,0,
195000,1990,AM-252426,2,1,98.01,80.94,0,1,0.0
299990,2022,AM-252425,3,2,136.29,0.0,1,1,0.0
599000,1963,AM-252422,3,2,122.45,560.08,0,2,0.0
6900000,0,AM-252416,4,4,594.58,3978.06,1,6,0.0
5000000,1993,AM-252408,3,2,276.2,0.0,1,2,0.0
559900,1972,AM-252407,3,2,132.11,687.97,0,0,0.0
499000,2022,AM-252406,3,2,179.21,342.36,1,2,0.0
2500000,1992,AM-252398,3,3,282.8,0.0,0,0,0.0
580000,1961,AM-252392,5,1,285.96,5179.98,1,2,0.0
515000,2019,AM-252391,3,2,145.11,4653.89,0,2,0.0
4400000,1930,AM-252390,5,5,575.44,3723.11,2,4,0.0
478000,2022,AM-252376,3,2,173.26,342.36,1,2,0.0
949000,1994,AM-252374,5,4,289.21,12100.0,0,2,0.0
393000,2012,AM-252372,5,3,191.57,768.9,0,2,0.0
699995,1991,AM-252366,2,0,174.19,2670.93,0,0,2.0
350000,2016,AM-252360,2,2,132.85,121.41,0,2,0.0
449000,1989,AM-252356,3,2,115.57,890.31,0,2,0.0
